Entity,Code,Year,Agricultural irrigated land (% of total agricultural land)
Turkey,TUR,2003,12.830922
Turkey,TUR,2004,12.6546955
Turkey,TUR,2005,12.650704
Turkey,TUR,2006,12.878769
Turkey,TUR,2007,13.200861
Turkey,TUR,2008,13.330095
Turkey,TUR,2009,13.40238
Turkey,TUR,2010,13.3676815
Turkey,TUR,2011,13.6350565
Turkey,TUR,2012,13.578254
Turkey,TUR,2013,13.572599
Turkey,TUR,2014,13.526483
Turkey,TUR,2015,13.5275345
Turkey,TUR,2016,13.606241
Turkey,TUR,2017,13.736698
Turkey,TUR,2018,13.795567
Turkey,TUR,2019,13.827023
Turkey,TUR,2020,13.81018
Turkey,TUR,2021,13.691617
Uganda,UGA,2013,0.07339577
Ukraine,UKR,2001,1.3127944
Ukraine,UKR,2002,1.763697
Ukraine,UKR,2003,1.768589
Ukraine,UKR,2009,0.98119974
Ukraine,UKR,2010,0.8966002
Ukraine,UKR,2011,0.89871854
Ukraine,UKR,2012,0.91047776
Ukraine,UKR,2013,0.9680682
Ukraine,UKR,2014,0.74679
Ukraine,UKR,2015,0.7564807
Ukraine,UKR,2016,0.79248464
Ukraine,UKR,2017,0.8990335
Ukraine,UKR,2018,0.9654238
Ukraine,UKR,2019,0.9876304
Ukraine,UKR,2020,1.0529883
Ukraine,UKR,2021,1.0699329
United Arab Emirates,ARE,2010,19.372929
United Arab Emirates,ARE,2011,18.301159
United Arab Emirates,ARE,2012,12.768782
United Arab Emirates,ARE,2013,20.92778
United Arab Emirates,ARE,2014,21.568628
United Arab Emirates,ARE,2015,21.630095
United Arab Emirates,ARE,2016,21.83429
United Arab Emirates,ARE,2017,21.83429
United Arab Emirates,ARE,2018,21.914865
United Arab Emirates,ARE,2019,23.657787
United Arab Emirates,ARE,2020,23.55567
United Arab Emirates,ARE,2021,23.996231
United Kingdom,GBR,2003,1.3387592
United Kingdom,GBR,2005,1.2290635
United Kingdom,GBR,2007,0.78313595
United Kingdom,GBR,2010,0.3855086
United Kingdom,GBR,2013,0.28364888
United Kingdom,GBR,2018,0.41390508
United States,USA,2002,5.419015
United States,USA,2007,5.54816
United States,USA,2008,5.409802
United States,USA,2012,5.604332
United States,USA,2017,5.785517
Uruguay,URY,2006,1.150051
Uruguay,URY,2007,1.0790378
Uruguay,URY,2008,1.2266594
Uruguay,URY,2009,1.1678143
Uruguay,URY,2010,1.2332848
Uruguay,URY,2011,1.3768415
Uruguay,URY,2012,1.4047903
Uruguay,URY,2016,1.5632339
Uruguay,URY,2017,1.567894
Uruguay,URY,2018,1.5714407
Uzbekistan,UZB,2015,14.3529825
Uzbekistan,UZB,2016,14.341748
Uzbekistan,UZB,2017,14.632713
Uzbekistan,UZB,2018,14.632273
Uzbekistan,UZB,2019,14.592668
Uzbekistan,UZB,2020,14.531296
Uzbekistan,UZB,2021,14.524768
Venezuela,VEN,2007,3.1680505
